match_id,start_time,avg_rank_tier,lobby_type,game_mode,duration,radiant_win,radiant_team,dire_team
8831558764,1780145695,72,1,2,1054,1,"65,100,6,135,90","1,11,27,129,123"
8831558492,1780145626,71,7,22,1586,1,"93,75,27,108,8","87,100,96,136,67"
8831558360,1780145646,75,7,22,1637,1,"59,135,119,35,96","2,126,86,102,145"
8831558352,1780145626,75,7,22,1529,1,"14,112,21,26,36","7,74,80,85,2"
8831557834,1780145625,75,7,22,1749,1,"91,70,31,14,21","8,137,85,75,2"
8831557753,1780145621,71,7,22,1645,0,"8,17,81,97,25","33,75,30,12,113"
8831557685,1780145616,73,7,22,2033,1,"11,60,26,6,87","98,75,14,145,43"
8831557286,1780145586,73,7,22,1965,0,"56,135,119,126,14","28,54,33,145,68"
8831557158,1780145595,75,7,22,1063,0,"74,27,19,65,31","16,30,6,51,20"
8831556464,1780145545,75,7,22,1497,1,"87,77,75,67,128","31,137,30,114,69"
8831556402,1780145561,73,7,22,2075,0,"128,51,2,31,95","22,29,54,74,75"
8831556335,1780145550,74,0,22,1982,1,"155,41,86,51,35","101,145,137,74,75"
8831556316,1780145531,75,7,22,2141,0,"111,73,22,5,56","106,94,123,47,62"
8831556042,1780145540,73,7,22,2032,1,"74,110,128,88,11","135,70,26,7,31"
8831555906,1780145531,74,7,22,1971,0,"57,30,114,155,145","22,128,93,20,28"
8831555874,1780145526,72,7,22,1218,0,"84,135,123,86,19","31,12,23,71,145"
8831555670,1780145505,75,7,22,1607,0,"54,7,120,99,87","29,145,74,106,86"
8831555604,1780145490,75,7,22,2048,1,"112,62,69,39,10","71,19,128,123,7"
8831555399,1780145510,75,7,22,1963,0,"14,135,40,6,74","37,48,7,39,109"
8831555352,1780145515,75,7,22,1469,1,"110,11,5,88,92","62,109,13,27,28"
8831555083,1780145500,75,7,22,2153,0,"41,59,71,64,60","42,12,123,86,14"
8831555063,1780145496,75,7,22,1596,1,"104,21,74,6,101","2,44,61,30,121"
8831554968,1780145496,75,7,22,1824,0,"75,135,14,31,59","33,22,128,61,60"
8831554903,1780145490,74,7,22,1610,0,"11,104,105,5,93","19,123,74,60,84"
8831554719,1780145485,75,7,3,2122,1,"13,1,123,81,128","6,14,72,84,17"
8831554714,1780145461,75,7,22,1659,0,"135,71,93,59,5","77,83,27,74,44"
8831554484,1780145465,75,7,22,1599,1,"41,74,7,108,58","17,75,44,128,99"
8831554482,1780145471,75,7,22,2080,1,"59,137,41,53,22","15,14,123,25,48"
8831554414,1780145465,71,7,22,1919,1,"74,85,128,6,60","32,41,112,59,27"
8831554413,1780145465,74,7,22,2014,0,"28,74,35,105,41","97,120,90,70,21"
8831554367,1780145471,75,7,22,1883,0,"6,20,90,55,2","126,84,54,112,123"
8831554358,1780145465,74,7,22,2191,0,"29,17,86,67,27","71,70,131,2,36"
8831554283,1780145455,71,7,22,1645,1,"31,128,21,114,104","96,22,37,44,13"
8831554233,1780145461,75,7,22,2131,0,"109,85,2,90,101","31,15,47,135,91"
8831554210,1780145455,71,7,22,2152,1,"27,62,14,25,6","51,36,87,99,67"
8831554172,1780145460,73,7,22,2158,1,"22,126,83,67,120","2,35,121,131,8"
8831554123,1780145451,74,0,4,1552,0,"84,74,28,41,11","83,18,63,23,26"
8831554053,1780145445,75,0,4,1881,0,"8,120,14,38,1","97,59,46,19,21"
8831554041,1780145456,74,7,22,1971,1,"57,120,104,86,6","69,19,21,16,85"
8831553915,1780145436,75,7,22,2147,0,"11,74,138,20,2","75,119,29,13,93"
8831553848,1780145446,73,7,22,2257,1,"71,8,29,39,86","17,136,73,135,75"
8831553788,1780145446,75,7,22,1785,1,"87,129,79,34,114","138,123,97,86,39"
8831553683,1780145440,73,7,22,1347,0,"86,25,137,12,123","19,56,60,5,101"
8831553646,1780145436,75,7,22,1664,1,"106,128,31,1,104","86,6,76,129,84"
8831553631,1780145440,75,7,22,1755,0,"8,64,2,136,14","86,74,112,19,29"
8831553626,1780145436,74,7,22,1717,0,"10,39,86,108,22","31,8,84,126,123"
8831553478,1780145411,74,0,4,2084,1,"76,17,37,98,91","38,65,21,9,113"
8831553296,1780145425,72,7,22,2303,1,"51,25,69,126,6","60,112,93,5,106"
8831553256,1780145420,71,7,22,1734,1,"108,90,86,123,54","26,42,2,110,74"
8831553220,1780145420,73,7,22,1883,0,"22,20,27,8,68","46,128,99,103,39"
8831553152,1780145420,74,7,22,2295,1,"14,42,48,87,86","36,26,19,128,84"
8831553148,1780145416,73,7,22,1711,0,"93,101,69,123,128","22,104,6,4,14"
8831553134,1780145420,75,7,22,2064,0,"22,88,108,63,86","14,84,60,126,21"
8831553116,1780145416,75,7,22,1936,1,"74,41,14,27,111","23,86,123,54,105"
8831553070,1780145415,74,7,3,1528,1,"101,69,67,64,108","35,25,81,41,128"
8831553016,1780145410,74,7,22,2298,1,"53,71,11,2,123","95,26,37,135,128"
8831552982,1780145411,71,7,22,2285,0,"103,66,64,19,22","119,14,74,12,92"
8831552972,1780145395,75,7,22,1811,1,"59,68,71,29,54","128,6,112,98,14"
8831552888,1780145406,72,7,22,2249,1,"86,99,90,20,93","59,5,87,109,60"
8831552775,1780145400,75,7,22,2092,1,"145,40,105,39,108","114,104,14,97,31"
8831552769,1780145395,73,7,22,2045,0,"47,76,8,5,40","7,22,21,85,55"
8831552695,1780145401,75,7,3,1965,0,"104,86,70,36,26","90,40,135,44,106"
8831552547,1780145391,75,7,22,1296,1,"86,145,38,128,8","87,51,19,97,30"
8831552492,1780145390,75,7,22,2244,1,"74,137,62,112,41","39,22,12,53,98"
8831552278,1780145375,75,7,22,1407,0,"25,85,110,138,28","73,108,21,86,88"
8831552262,1780145380,74,7,22,1768,1,"114,45,25,105,128","121,93,11,5,109"
8831552185,1780145375,74,7,22,2593,1,"36,12,25,87,14","48,31,73,17,104"
8831551931,1780145365,75,7,22,731,1,"74,14,121,56,136","129,30,145,97,27"
8831551879,1780145340,74,7,22,1949,1,"110,39,27,73,135","19,123,22,26,99"
8831551865,1780145361,72,7,22,2007,0,"86,75,71,138,145","129,37,54,40,114"
8831551774,1780145355,75,7,22,1803,1,"135,22,138,106,3","15,41,88,85,36"
8831551681,1780145350,72,7,22,2388,1,"90,104,85,26,6","68,131,74,19,2"
8831551639,1780145346,75,7,22,2289,1,"45,15,30,41,22","85,94,128,14,39"
8831551620,1780145350,71,7,22,2128,1,"74,120,90,8,97","22,41,119,31,135"
8831551560,1780145346,75,7,22,2157,0,"1,30,14,74,80","113,75,41,101,104"
8831551514,1780145346,75,7,22,2203,1,"2,50,82,12,30","104,74,13,88,94"
8831551486,1780145340,72,0,22,1898,1,"84,104,36,5,41","21,112,27,9,1"
8831551467,1780145330,75,7,22,2425,0,"136,86,123,46,2","84,51,36,114,12"
8831551328,1780145340,73,7,22,1742,1,"108,11,59,79,64","67,22,71,31,65"
8831551293,1780145320,74,7,22,1837,1,"60,35,114,71,26","19,8,39,84,11"
8831551194,1780145325,75,7,22,2481,1,"32,99,14,6,21","29,74,41,86,105"
8831551104,1780145330,75,7,22,1862,0,"80,120,26,13,14","86,6,37,35,85"
8831551086,1780145330,75,7,22,2675,0,"108,68,6,30,14","90,1,51,21,129"
8831551047,1780145305,75,7,22,1925,0,"91,41,35,121,60","78,44,111,58,14"
8831551011,1780145325,75,7,22,2716,0,"106,60,128,86,48","69,40,97,31,93"
8831550956,1780145316,71,7,22,2454,1,"60,107,30,12,20","7,94,81,74,87"
8831550900,1780145320,75,7,22,2209,1,"26,128,107,74,6","99,12,61,51,3"
8831550898,1780145320,75,7,22,1960,1,"138,128,11,42,26","84,72,135,59,19"
8831550809,1780145310,72,7,22,1884,1,"90,101,96,6,14","39,121,97,69,8"
8831550779,1780145306,75,7,22,2549,0,"6,123,26,75,2","86,126,128,104,138"
8831550705,1780145295,75,7,22,1974,1,"72,91,84,76,5","99,10,47,88,98"
8831550667,1780145311,75,7,22,2410,1,"135,88,86,14,1","74,2,41,101,31"
8831550650,1780145301,71,7,22,1840,0,"44,37,71,104,84","35,47,83,135,97"
